Rank,Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor
1,Avengers: Endgame,357115007,858373000,41.6,4662,76601,2019-04-26,Walt Disney Studios Motion Pictures
2,Spider-Man: No Way Home,260138569,804793477,32.3,4336,59995,2021-12-17,Sony Pictures Releasing
3,Avengers: Infinity War,257698183,678815482,38,4474,57599,2018-04-27,Walt Disney Studios Motion Pictures
4,Star Wars: Episode VII - The Force Awakens,247966675,936662225,26.5,4134,59982,2015-12-18,Walt Disney Studios Motion Pictures
5,Star Wars: Episode VIII - The Last Jedi,220009584,620181382,35.5,4232,51987,2017-12-15,Walt Disney Studios Motion Pictures
6,Jurassic World,208806270,652270625,32,4274,48855,2015-06-12,Universal Pictures
7,The Avengers,207438708,623357910,33.3,4349,47698,2012-05-04,Walt Disney Studios Motion Pictures
8,Black Panther,202003951,700059566,28.9,4020,50249,2018-02-16,Walt Disney Studios Motion Pictures
9,The Lion King,191770759,543638043,35.3,4725,40586,2019-07-19,Walt Disney Studios Motion Pictures
10,Avengers: Age of Ultron,191271109,459005868,41.7,4276,44731,2015-05-01,Walt Disney Studios Motion Pictures
11,Doctor Strange in the Multiverse of Madness,187420998,411331607,45.6,4534,41336,2022-05-06,Walt Disney Studios Motion Pictures
12,Incredibles 2,182687905,608581744,30,4410,41425,2018-06-15,Walt Disney Studios Motion Pictures
13,Black Panther: Wakanda Forever,181339761,453829060,40,4396,41251,2022-11-11,Walt Disney Studios Motion Pictures
14,Captain America: Civil War,179139142,408084349,43.9,4226,42389,2016-05-06,Walt Disney Studios Motion Pictures
15,Star Wars: Episode IX - The Rise of Skywalker,177383864,515202542,34.4,4406,40259,2019-12-20,Walt Disney Studios Motion Pictures
16,Beauty and the Beast,174750616,504014165,34.7,4210,41508,2017-03-17,Walt Disney Studios Motion Pictures
17,Iron Man 3,174144585,409013994,42.6,4253,40946,2013-05-03,Walt Disney Studios Motion Pictures
18,Harry Potter and the Deathly Hallows: Part 2,169189427,381011219,44.4,4375,38671,2011-07-15,Warner Bros.
19,Batman v Superman: Dawn of Justice,166007347,330360194,50.2,4242,39134,2016-03-25,Warner Bros.
20,Barbie,162022044,636238421,25.5,4243,38185,2023-07-21,Warner Bros.
21,The Dark Knight Rises,160887295,448139099,35.9,4404,36532,2012-07-20,Warner Bros.
22,The Dark Knight,158411483,533345358,29.7,4366,36282,2008-07-18,Warner Bros.
23,The Hunger Games: Catching Fire,158074286,424668047,37.2,4163,37971,2013-11-22,Lionsgate Films
24,Rogue One: A Star Wars Story,155081681,532177324,29.1,4157,37306,2016-12-16,Walt Disney Studios Motion Pictures
25,Captain Marvel,153433423,426829839,36,4310,35599,2019-03-08,Walt Disney Studios Motion Pictures
26,The Hunger Games,152535747,408010692,37.4,4137,36871,2012-03-23,Lionsgate Films
27,Spider-Man 3,151116516,336530303,44.9,4252,35540,2007-05-04,Sony Pictures Releasing
28,Jurassic World: Fallen Kingdom,148024610,417719760,35.4,4475,33078,2018-06-22,Universal Pictures
29,Furious 7,147187040,353007020,41.7,4004,36760,2015-04-03,Universal Pictures
30,Guardians of the Galaxy Vol. 2,146510104,389813101,37.6,4347,33703,2017-05-05,Walt Disney Studios Motion Pictures
31,The Super Mario Bros. Movie,146361865,574934330,25.5,4343,33700,2023-04-05,Universal Pictures
32,Jurassic World Dominion,145075625,376851080,38.5,4676,31025,2022-06-10,Universal Pictures
33,Thor: Love and Thunder,144165107,343256830,42,4375,32952,2022-07-08,Walt Disney Studios Motion Pictures
34,The Twilight Saga: New Moon,142839137,296623634,48.2,4024,35496,2009-11-20,Summit Entertainment
35,The Twilight Saga: Breaking Dawn - Part 2,141067634,292324737,48.3,4070,34660,2012-11-16,Lionsgate Films
36,The Twilight Saga: Breaking Dawn - Part 1,138122261,281287133,49.1,4061,34011,2011-11-18,Summit Entertainment
37,Pirates of the Caribbean: Dead Man's Chest,135634554,423315812,32,4133,32817,2006-07-07,Walt Disney Studios Motion Pictures
38,Finding Dory,135060273,486295561,27.8,4305,31372,2016-06-17,Walt Disney Studios Motion Pictures
39,Avatar: The Way of Water,134100226,684075767,19.6,4202,31913,2022-12-16,20th Century Studios
40,The Batman,134008624,369345583,36.3,4417,30339,2022-03-04,Warner Bros.
41,Suicide Squad,133682248,325100054,41.1,4255,31417,2016-08-05,Warner Bros.
42,Deadpool,132434639,363070709,36.5,3558,37221,2016-02-12,Twentieth Century Fox
43,Frozen II,130263358,477373578,27.3,4440,29338,2019-11-22,Walt Disney Studios Motion Pictures
44,Iron Man 2,128122480,312433331,41,4380,29251,2010-05-07,Paramount Pictures
45,Top Gun: Maverick,126707459,718732821,17.6,4735,26759,2022-05-27,Paramount Pictures
46,Deadpool 2,125507153,318491426,39.4,4349,28858,2018-05-18,Twentieth Century Fox
47,Harry Potter and the Deathly Hallows: Part 1,125017372,295983305,42.2,4125,30307,2010-11-19,Warner Bros.
48,It,123403419,327481748,37.7,4103,30076,2017-09-08,Warner Bros.
49,Thor: Ragnarok,122744989,315058289,39,4080,30084,2017-11-03,Walt Disney Studios Motion Pictures
50,The Hunger Games: Mockingjay - Part 1,121897634,337135885,36.2,4151,29365,2014-11-21,Lionsgate Films
51,Shrek the Third,121629270,322719944,37.7,4122,29507,2007-05-18,DreamWorks
52,Toy Story 4,120908065,434038008,27.9,4575,26427,2019-06-21,Walt Disney Studios Motion Pictures
53,Spider-Man: Across the Spider-Verse,120663589,381311319,31.6,4313,27976,2023-06-02,Columbia Pictures
54,Guardians of the Galaxy Vol. 3,118414021,358995815,33,4450,26609,2023-05-05,Walt Disney Studios Motion Pictures
55,Spider-Man: Homecoming,117027503,334201140,35,4348,26915,2017-07-07,Sony Pictures Releasing
56,Man of Steel,116619362,291045518,40.1,4207,27720,2013-06-14,Warner Bros.
57,Alice in Wonderland,116101023,334191110,34.7,3728,31142,2010-03-05,Walt Disney Studios Motion Pictures
58,Minions,115718405,336045770,34.4,4301,26905,2015-07-10,Universal Pictures
59,Spider-Man,114844116,403706375,28.4,3615,31768,2002-05-03,Sony Pictures Releasing
60,Pirates of the Caribbean: At World's End,114732820,309420425,37.1,4362,26302,2007-05-25,Walt Disney Studios Motion Pictures
61,Toy Story 3,110307189,415004880,26.6,4028,27385,2010-06-18,Walt Disney Studios Motion Pictures
62,Transformers: Revenge of the Fallen,108966307,402111870,27.1,4234,25736,2009-06-24,DreamWorks
63,Star Wars: Episode III - Revenge of the Sith,108435841,380270577,28.5,3661,29619,2005-05-19,Twentieth Century Fox
64,Shrek 2,108037878,441426807,24.5,4163,25951,2004-05-19,DreamWorks Distribution
65,Minions: The Rise of Gru,107010140,370270765,28.9,4391,24370,2022-07-01,Universal Pictures
66,Ant-Man and the Wasp: Quantumania,106109650,214504909,49.5,4345,24421,2023-02-17,Walt Disney Studios Motion Pictures
67,The Secret Life of Pets,104352905,368623860,28.3,4370,23879,2016-07-08,Universal Pictures
68,The Jungle Book,103261464,364001123,28.4,4028,25635,2016-04-15,Walt Disney Studios Motion Pictures
69,Wonder Woman,103251471,412563408,25,4165,24790,2017-06-02,Warner Bros.
70,X-Men: The Last Stand,102750665,234362462,43.8,3690,27845,2006-05-26,Twentieth Century Fox
71,Harry Potter and the Goblet of Fire,102685961,290013036,35.4,3858,26616,2005-11-18,Warner Bros.
72,The Hunger Games: Mockingjay - Part 2,102665981,281723902,36.4,4175,24590,2015-11-20,Lionsgate Films
73,Indiana Jones and the Kingdom of the Crystal Skull,100137835,317101119,31.6,4260,23506,2008-05-22,Paramount Pictures
74,Transformers: Age of Extinction,100038390,245439076,40.8,4233,23632,2014-06-27,Paramount Pictures
75,The Fate of the Furious,98786705,226008385,43.7,4310,22920,2017-04-14,Universal Pictures
76,Iron Man,98618668,318604126,31,4105,24024,2008-05-02,Paramount Pictures
77,Transformers: Dark of the Moon,97852865,352390543,27.8,4088,23936,2011-06-29,DreamWorks
78,Fast & Furious 6,97375245,238679850,40.8,3658,26619,2013-05-24,Universal Pictures
79,Joker,96202337,335451311,28.7,4374,21994,2019-10-04,Warner Bros.
80,The Little Mermaid,95578040,298172056,32,4320,22124,2023-05-26,Walt Disney Studios Motion Pictures
81,Captain America: The Winter Soldier,95023721,259766572,36.6,3938,24129,2014-04-04,Walt Disney Studios Motion Pictures
82,Guardians of the Galaxy,94320883,333176600,28.3,4080,23117,2014-08-01,Walt Disney Studios Motion Pictures
83,Justice League,93842239,229024295,41,4051,23165,2017-11-17,Warner Bros.
84,Harry Potter and the Prisoner of Azkaban,93687367,249541069,37.5,3855,24302,2004-06-04,Warner Bros.
85,Taylor Swift: The Eras Tour,93224755,180756269,51.6,3855,24182,2023-10-13,-
86,Godzilla,93188384,200676069,46.4,3952,23580,2014-05-16,Warner Bros.
87,Spider-Man: Far from Home,92579212,390532085,23.7,4634,19978,2019-07-02,Sony Pictures Releasing
88,The Matrix Reloaded,91774413,281576461,32.6,3603,25471,2003-05-15,Warner Bros.
89,The Amazing Spider-Man 2,91608337,202853933,45.2,4324,21186,2014-05-02,Sony Pictures Releasing
90,Aladdin,91500929,355559216,25.7,4476,20442,2019-05-24,Walt Disney Studios Motion Pictures
91,It Chapter Two,91062152,211593228,43,4570,19926,2019-09-06,Warner Bros.
92,X-Men: Days of Future Past,90823660,233921534,38.8,3996,22728,2014-05-23,Twentieth Century Fox
93,Inside Out,90440272,356461711,25.4,3946,22919,2015-06-19,Walt Disney Studios Motion Pictures
94,Harry Potter and the Sorcerer's Stone,90294621,317575550,28.4,3672,24590,2001-11-16,Warner Bros.
95,Pirates of the Caribbean: On Stranger Tides,90151958,241071802,37.4,4155,21697,2011-05-20,Walt Disney Studios Motion Pictures
96,Venom: Let There Be Carnage,90033210,213550366,42.2,4225,21309,2021-10-01,Sony Pictures Releasing
97,Logan,88411916,226277068,39.1,4071,21717,2017-03-03,Twentieth Century Fox
98,Skyfall,88364714,304360277,29,3505,25211,2012-11-09,Sony Pictures Releasing
99,Harry Potter and the Chamber of Secrets,88357488,261988482,33.7,3682,23997,2002-11-15,Warner Bros.
100,Spider-Man 2,88156227,373585825,23.6,4152,21232,2004-06-30,Sony Pictures Releasing
101,Fast Five,86198765,209837675,41.1,3644,23654,2011-04-29,Universal Pictures
102,The Hangover Part II,85946294,254464305,33.8,3615,23774,2011-05-26,Warner Bros.
103,Thor: The Dark World,85737841,206362140,41.6,3841,22321,2013-11-08,Walt Disney Studios Motion Pictures
104,X2,85558731,214949694,39.8,3741,22870,2003-05-02,Twentieth Century Fox
105,Fifty Shades of Grey,85171450,166167230,51.3,3646,23360,2015-02-13,Universal Pictures
106,Doctor Strange,85058311,232641920,36.6,3882,21910,2016-11-04,Walt Disney Studios Motion Pictures
107,X-Men Origins: Wolverine,85058003,179883157,47.3,4099,20750,2009-05-01,Twentieth Century Fox
108,The Hobbit: An Unexpected Journey,84617303,303003568,27.9,4045,20918,2012-12-14,Warner Bros.
109,Solo: A Star Wars Story,84420489,213767512,39.5,4381,19269,2018-05-25,Walt Disney Studios Motion Pictures
110,The Passion of the Christ,83848082,370274604,22.6,3043,27554,2004-02-25,Newmarket Films
111,Despicable Me 2,83517315,368065385,22.7,3997,20895,2013-07-03,Universal Pictures
112,Dune: Part Two,82505391,264858587,31.2,4071,20266,2024-03-01,Warner Bros.
113,Oppenheimer,82455420,329862540,25,3610,22840,2023-07-21,Universal Pictures
114,Monsters University,82429469,268492764,30.7,4004,20586,2013-06-21,Walt Disney Studios Motion Pictures
115,Black Widow,80366312,183651655,43.8,4160,19318,2021-07-09,Walt Disney Studios Motion Pictures
116,Venom,80255756,213515506,37.6,4250,18883,2018-10-05,Sony Pictures Releasing
117,Star Wars: Episode II - Attack of the Clones,80027814,302191252,26.5,3161,25317,2002-05-16,Twentieth Century Fox
118,Godzilla x Kong: The New Empire,80006561,135037630,59.2,3861,20721,2024-03-29,Warner Bros.
119,Five Nights at Freddy's,80001720,137275620,58.3,3675,21769,2023-10-27,Universal Pictures International
120,Oz the Great and Powerful,79110453,234911825,33.7,3912,20222,2013-03-08,Walt Disney Studios Motion Pictures
121,Harry Potter and the Half-Blood Prince,77835727,301959197,25.8,4325,17996,2009-07-15,Warner Bros.
122,I Am Legend,77211321,256393010,30.1,3606,21411,2007-12-14,Warner Bros.
123,Harry Potter and the Order of the Phoenix,77108414,292004738,26.4,4285,17994,2007-07-11,Warner Bros.
124,The Da Vinci Code,77073388,217536138,35.4,3735,20635,2006-05-19,Sony Pictures Releasing
125,Avatar,77025481,749766139,10.3,3452,22313,2009-12-18,Twentieth Century Fox
126,Halloween,76221545,159342015,47.8,3928,19404,2018-10-19,Universal Pictures
127,Ant-Man and the Wasp,75812205,216648740,35,4206,18024,2018-07-06,Walt Disney Studios Motion Pictures
128,Shang-Chi and the Legend of the Ten Rings,75388688,224543292,33.6,4300,17532,2021-09-03,Walt Disney Studios Motion Pictures
129,Star Trek,75204289,257730019,29.2,3849,19538,2009-05-08,Paramount Pictures
130,Zootopia,75063401,341268248,22,3827,19614,2016-03-04,Walt Disney Studios Motion Pictures
131,Fantastic Beasts and Where to Find Them,74403387,234037575,31.8,4144,17954,2016-11-18,Warner Bros.
132,The Simpsons Movie,74036787,183135014,40.4,3922,18877,2007-07-27,Twentieth Century Fox
133,John Wick: Chapter 4,73817950,187131806,39.4,3855,19148,2023-03-24,Lionsgate Films
134,The Hobbit: The Desolation of Smaug,73645197,258366855,28.5,3903,18868,2013-12-13,Warner Bros.
135,Austin Powers in Goldmember,73071188,213307889,34.3,3613,20224,2002-07-26,New Line Cinema
136,The Lord of the Rings: The Return of the King,72629713,377027325,19.3,3703,19613,2003-12-17,New Line Cinema
137,Dawn of the Planet of the Apes,72611427,208545589,34.8,3967,18303,2014-07-11,Twentieth Century Fox
138,Despicable Me 3,72434025,264624300,27.4,4529,15993,2017-06-30,Universal Pictures
139,The Lost World: Jurassic Park,72132785,229086679,31.5,3281,21985,1997-05-23,Universal Pictures
140,Sonic the Hedgehog 2,72105176,190872904,37.8,4234,17030,2022-04-08,Paramount Pictures
141,Eternals,71297219,164870234,43.2,4090,17432,2021-11-05,Walt Disney Studios Motion Pictures
142,Us,71117625,175084580,40.6,3741,19010,2019-03-22,Universal Pictures
143,Fast & Furious,70950500,155064265,45.8,3461,20500,2009-04-03,Universal Pictures
144,300,70885301,210614939,33.7,3103,22844,2007-03-09,Warner Bros.
145,Shrek Forever After,70838207,238736787,29.7,4359,16251,2010-05-21,DreamWorks
146,Transformers,70502384,319246193,22.1,4011,17577,2007-07-03,DreamWorks
147,The Incredibles,70467623,261441092,27,3933,17917,2004-11-05,Walt Disney Studios Motion Pictures
148,Spectre,70403148,200074609,35.2,3929,17918,2015-11-06,Sony Pictures Releasing
149,Finding Nemo,70251710,339714978,20.7,3374,20821,2003-05-30,Walt Disney Studios Motion Pictures
150,The Lorax,70217070,214151550,32.8,3729,18830,2012-03-02,Universal Pictures
151,Star Trek Into Darkness,70165559,228778661,30.7,3868,18140,2013-05-16,Paramount Pictures
152,F9: The Fast Saga,70043165,173005945,40.5,4179,16760,2021-06-25,Universal Pictures
153,Twilight,69637740,192769854,36.1,3419,20367,2008-11-21,Summit Entertainment
154,Maleficent,69431298,241410378,28.8,3948,17586,2014-05-30,Walt Disney Studios Motion Pictures
155,The Bourne Ultimatum,69283690,227471070,30.5,3660,18929,2007-08-03,Universal Pictures
156,Pitch Perfect 2,69216890,184296230,37.6,3473,19930,2015-05-15,Universal Pictures
157,The Lego Movie,69050279,257760692,26.8,3775,18291,2014-02-07,Warner Bros.
158,The Day After Tomorrow,68743584,186740799,36.8,3425,20071,2004-05-28,Twentieth Century Fox
159,Planet of the Apes,68532960,180011740,38.1,3500,19580,2001-07-27,Twentieth Century Fox
160,The Mummy Returns,68139035,202019785,33.7,3401,20035,2001-05-04,Universal Pictures
161,Up,68108790,293004164,23.2,3766,18085,2009-05-29,Walt Disney Studios Motion Pictures
162,Ice Age: The Meltdown,68033544,195330621,34.8,3964,17162,2006-03-31,Twentieth Century Fox
163,Bruce Almighty,67953330,242829261,28,3483,19510,2003-05-23,Universal Pictures
164,Cinderella,67877361,201151353,33.7,3845,17653,2015-03-13,Walt Disney Studios Motion Pictures
165,Aquaman,67873522,335061807,20.3,4125,16454,2018-12-21,Warner Bros.
166,The Grinch,67572855,271478510,24.9,4141,16318,2018-11-09,Universal Pictures
167,Quantum of Solace,67528882,168368427,40.1,3451,19567,2008-11-14,Sony Pictures Releasing
168,Rush Hour 2,67408222,226164286,29.8,3118,21619,2001-08-03,New Line Cinema
169,Fast X,67017410,146126015,45.9,4046,16563,2023-05-19,Universal Pictures
170,Black Adam,67004323,168152111,39.8,4402,15221,2022-10-21,Warner Bros.
171,World War Z,66411834,202359711,32.8,3607,18411,2013-06-21,Paramount Pictures
172,Brave,66323594,237283207,28,4164,15927,2012-06-22,Walt Disney Studios Motion Pictures
173,Cars 2,66135507,191452396,34.5,4115,16071,2011-06-24,Walt Disney Studios Motion Pictures
174,X-Men: Apocalypse,65769562,155442489,42.3,4150,15848,2016-05-27,Twentieth Century Fox
175,Thor,65723338,181030624,36.3,3955,16617,2011-05-06,Paramount Pictures
176,Teenage Mutant Ninja Turtles,65575105,191204754,34.3,3845,17054,2014-08-08,Paramount Pictures
177,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",65556312,291710957,22.5,3616,18129,2005-12-09,Walt Disney Studios Motion Pictures
178,2012,65237614,166112167,39.3,3404,19164,2009-11-13,Sony Pictures Releasing
179,Captain America: The First Avenger,65058524,176654505,36.8,3715,17512,2011-07-22,Paramount Pictures
180,War of the Worlds,64878725,234280354,27.7,3908,16601,2005-06-29,Paramount Pictures
181,The Twilight Saga: Eclipse,64832191,300531751,21.6,4468,14510,2010-06-30,Summit Entertainment
182,Star Wars: Episode I - The Phantom Menace,64820970,431088295,15,2970,21825,1999-05-19,Twentieth Century Fox
183,Madagascar: Escape 2 Africa,63106589,180010950,35.1,4056,15558,2008-11-07,DreamWorks
184,WALL·E,63087526,223808164,28.2,3992,15803,2008-06-27,Walt Disney Studios Motion Pictures
185,Pirates of the Caribbean: Dead Men Tell No Tales,62983253,172558876,36.5,4276,14729,2017-05-26,Walt Disney Studios Motion Pictures
186,Inception,62785337,292576195,21.5,3792,16557,2010-07-16,Warner Bros.
187,Hancock,62603879,227946274,27.5,3965,15789,2008-07-02,Sony Pictures Releasing
188,"Monsters, Inc.",62577067,255873250,24.5,3237,19331,2001-11-02,Walt Disney Studios Motion Pictures
189,Bad Boys for Life,62504105,206305244,30.3,3775,16557,2020-01-17,Sony Pictures Releasing
190,Sherlock Holmes,62304277,209028679,29.8,3626,17182,2009-12-25,Warner Bros.
191,Fantastic Beasts: The Crimes of Grindelwald,62163104,159555901,39,4163,14932,2018-11-16,Warner Bros.
192,Hulk,62128420,132177234,47,3660,16974,2003-06-20,Universal Pictures
193,The Lord of the Rings: The Two Towers,62007528,339789881,18.2,3622,17119,2002-12-18,New Line Cinema
194,The Amazing Spider-Man,62004688,262030663,23.7,4318,14359,2012-07-03,Sony Pictures Releasing
195,Mission: Impossible - Fallout,61236534,220159104,27.8,4386,13961,2018-07-27,Paramount Pictures
196,Clash of the Titans,61235105,163214888,37.5,3777,16212,2010-04-02,Warner Bros.
197,Transformers: Rise of the Beasts,61045464,157066392,38.9,3678,16597,2023-06-09,Paramount Pictures
198,Kong: Skull Island,61025472,168052812,36.3,3846,15867,2017-03-10,Warner Bros.
199,Indiana Jones and the Dial of Destiny,60368101,174480468,34.6,4600,13123,2023-06-30,Walt Disney Studios Motion Pictures
200,Madagascar 3: Europe's Most Wanted,60316738,216391482,27.9,4258,14165,2012-06-08,DreamWorks
201,Kung Fu Panda,60239130,215434591,28,4114,14642,2008-06-06,DreamWorks
202,Straight Outta Compton,60200180,161197785,37.4,2757,21835,2015-08-14,Universal Pictures
203,Cars,60119509,244082982,24.6,3985,15086,2006-06-09,Walt Disney Studios Motion Pictures
204,Signs,60117080,227966634,26.4,3264,18418,2002-08-02,Walt Disney Studios Motion Pictures
205,Fast & Furious Presents: Hobbs & Shaw,60038950,173956935,34.5,4253,14116,2019-08-02,Universal Pictures
206,Monsters vs. Aliens,59321095,198351526,29.9,4104,14454,2009-03-27,DreamWorks
207,Star Trek Beyond,59253211,158848340,37.3,3928,15084,2016-07-22,Paramount Pictures
208,Jumanji: The Next Level,59251543,320314960,18.5,4227,14017,2019-12-13,Sony Pictures Releasing
209,Jason Bourne,59215365,162434410,36.4,4026,14708,2016-07-29,Universal Pictures
210,Pearl Harbor,59078912,198542554,29.8,3214,18381,2001-05-25,Walt Disney Studios Motion Pictures
211,Creed III,58370007,156248615,37.4,4007,14567,2023-03-03,United Artists Releasing
212,Fantastic Four: Rise of the Silver Surfer,58051684,131921738,44,3959,14663,2007-06-15,Twentieth Century Fox
213,Sonic the Hedgehog,58018348,148974665,39,4167,13923,2020-02-14,Paramount Pictures
214,Hannibal,58003121,165092268,35.1,3230,17957,2001-02-09,Metro-Goldwyn-Mayer
215,Kung Fu Panda 4,57989905,158207090,36.6,4035,14371,2024-03-08,Universal Pictures
216,Mission: Impossible II,57845297,215409889,26.8,3653,15835,2000-05-24,Paramount Pictures
217,Ant-Man,57225526,180202163,31.8,3856,14840,2015-07-17,Walt Disney Studios Motion Pictures
218,22 Jump Street,57071445,191719337,29.8,3306,17262,2014-06-13,Sony Pictures Releasing
219,Sex and the City,57038404,152647258,37.4,3285,17363,2008-05-30,Warner Bros.
220,John Wick: Chapter 3 - Parabellum,56818067,171015687,33.2,3850,14757,2019-05-17,Lionsgate Films
221,Moana,56631401,248757044,22.8,3875,14614,2016-11-23,Walt Disney Studios Motion Pictures
222,Despicable Me,56397125,251639815,22.4,3476,16224,2010-07-09,Universal Pictures
223,War for the Planet of the Apes,56262929,146880162,38.3,4022,13988,2017-07-14,Twentieth Century Fox
224,Valentine's Day,56260707,110485654,50.9,3665,15350,2010-02-12,Warner Bros.
225,Ralph Breaks the Internet,56237634,201091711,28,4017,13999,2018-11-21,Walt Disney Studios Motion Pictures
226,Snow White and the Huntsman,56217700,155332381,36.2,3773,14900,2012-06-01,Universal Pictures
227,Big Hero 6,56215889,222527828,25.3,3761,14947,2014-11-07,Walt Disney Studios Motion Pictures
228,Charlie and the Chocolate Factory,56178450,206459076,27.2,3770,14901,2005-07-15,Warner Bros.
229,Fantastic Four,56061504,154696080,36.2,3602,15563,2005-07-08,Twentieth Century Fox
230,Gravity,55785112,274092705,20.4,3575,15604,2013-10-04,Warner Bros.
231,The Karate Kid,55665805,176591618,31.5,3663,15196,2010-06-11,Sony Pictures Releasing
232,Mission: Impossible - Rogue Nation,55520089,195042377,28.5,3956,14034,2015-07-31,Paramount Pictures
233,The Incredible Hulk,55414050,134806913,41.1,3505,15810,2008-06-13,Universal Pictures
